question,answer,options,type
'_____坚决纠正和结束了陈独秀的右倾机会主义错误，撤销了陈独秀的总书记职务，并选举产出了新的中共中央临时政治局。','八七会议','A:中共五大 B:中共六大 C:八七会议 D:古田会议','单选题'
'_____概括和提出了习近平新时代中国特色社会主义思想。','中共十九大',,
'_____的胜利，彻底结束了旧中国半殖民地半封建社会的历史，彻底结束了旧中国一盘散沙的局面，彻底废除了列强强加给中国的不平等条约和帝国主义在中国的一切特权，为实现中华民族伟大复兴创造了根本社会条件。','新民主主义革命','A:辛亥革命 B:新民主主义革命 C:抗日战争 D:社会主义革命','单选题'
'_____的出版，标志着新文化运动的兴起。','新青年',,
'_____打响了武装反抗国民党反动派的第一枪，在全党和全国人民面前树立起一面革命武装斗争的旗帜。','南昌起义',,
'_____创立于1965年，是一家有着近60年历史的国家大型综合性光学仪器生产企业。','凤凰光学股份有限公司','A:浙江意博高科技术有限公司 B:浙江海康科技有限公司 C:杭州海康威视数字技术股份有限公司 D:凤凰光学股份有限公司',
'_____成立于2019年10月18日，源于中电海康集团研究院车联网业务孵化，是中电海康集团在_____的重要战略性布局。','A:浙江海康智联科技有限公司、交通信息基础设施产业','A:浙江海康智联科技有限公司、交通信息基础设施产业 B:浙江海康慧联科技有限公司、交通信息基础设施产业 C:浙江海康慧联科技有限公司、物联网信息基础设施产业 D:浙江海康智联科技有限公司、物联网信息基础设施产业','单选题'
'______是中国革命史上具有重大意义的事件，标志着中国新民主主义革命的开端。','五四运动','A:辛亥革命 B:护国运动 C:五四运动 D:二次革命','单选题'
'______年，中国许多地方发生非典疫情，对广大人民群众的身体健康和生命安全构成严重威胁。在中共中央和国务院的领导下，全国展开了抗击“非典”的斗争，并取得了重大胜利。','2003年','A:2001年 B:2002年 C:2003年 D:2004年','单选题'
'_______是现阶段我国经济发展和经济工作的主线。。','推进供给侧结构性改革',,
'_________，成立浙江海康集团有限公司。','2003年','A:2003年 B:2004年 C:2005年 D:2006年','单选题'
'_______，中央人民政府同西藏地方政府达成关于和平解放西藏办法的协议，西藏获得和平解放。','1951年 ','A:1949年 B:1950年 C:1951年 D:1952年','单选题'
'_______，朝鲜战争爆发。','1950年6月','A:1950年6月 B:1951年2月 C:1951年6月 D:1952年3月','单选题'
'_____，中国正式成为世贸组织即WTO第143个成员。','2001年12月11日','A:2000年12月11日 B:2001年12月11日 C:2000年10月11日 D:2001年10月11日','单选题'
'_____，中国许多地方发生非典疫情，对广大人民群众的身体健康和生命安全构成严重威胁。在中共中央和国务院的领导下，全国展开了抗击“非典”的斗争，并取得了重大胜利。','2003年',,
'_____，中电海康集团正式成立运作，以发展应对变革，以变革促进发展，全面打好转型升级攻坚战。','2014年',,
'_____，是做好党的群团工作的根本保证，是必须坚持的正确政治方向，也是党的群团工作的优良传统。','坚持党的领导','A:坚持中国特色社会主义群团发展道路 B:坚持中国特色社会主义道路 C:坚持党的领导 D:保持和增强“三性”','单选题'
'_____，是邓小平同志一生最鲜明的政治品格，也永远是中国共产党人应该挺起的精神脊梁。','信念坚定 ','A:实事求是 B:民族自信 C:坚定理想 D:信念坚定','单选题'
'_____，是邓小平同志一生最鲜明的领导风范，也永远是中国共产党人应该具有的历史担当。','开拓创新','A:举重若轻 B:开拓创新 C:敢为人先 D:抓大放小','单选题'
'_____，是邓小平同志一生最恢宏的革命气度，也永远是中国共产党人应该树立的思维方式。','战略思维','A:解放思想 B:宏观视野 C:高瞻远瞩 D:战略思维','单选题'
'_____，江西省国资委与中电海康战略重组凤凰光学签约仪式在南昌举行。','2014年8月','A:2014年1月 B:2015年8月 C:2015年1月 D:2014年8月','单选题'
'_____，海康威视持续快速发展，跃居全球视频监控第一位，称为国内最大的综合安防上市公司，晋升国内安防产品第一品牌。','2011年',,
'_____，成立深圳科润电脑有限公司，从事家电控制器的研发生产。总经理为_____。','1990年，王金生',,
'_____，百色起义胜利举行，中国工农红军第七军正式宣告诞生。','1929年12月11日',,
'_____，把52所全部军工业务放到军工事业部，包括科技计划、标准化、采购等业务，对这些业务进行封闭式运行和模拟法人运作，这也形成了后来真正意义上分所的雏形。_____，正式改名为分所。','1997年后，2003年','A:1996年后，2002年 B:1997年后，2003年 C:1998年后，2002年 D:1999年后，2003年','单选题'
'_____，52所在继续全力支持海康威视发展的同时，加快转型升级，开启“二次创业”新篇章。这一年，海康威视深交所挂牌上市。JG销售突破亿元大关。','2010年','A:2010年 B:2011年 C:2009年 D:2008年','单选题'
'_____ 年 5 月 15 日至 25 日，中国新民主主义青年团第三次全国代表大会在北京召开。大会通过了《关于将中国新民主主义青年团改名中国共产主义青年团的决议》。','1957','A:1955 B:1956 C:1957 D:1958','单选题'
'MRAM是一种新型的高速易失存储技术，其读写速度（纳秒）和擦写寿命(接近无限次)均可媲美现在的DRAM，远远超过FLASH。','错误，是高速非易失存储技术','A:正确 B:错误 ','判断题'
'I³战略布局包含以下哪三项？','A:IC B:AI D:IoT','A:IC B:AI C:IPS D:IoT','多选题'
'CETC标志在各种环境和材质应用的过程中，为保持对外形象的高度一致性，应采用标志标准制图的方式规范标志的造型比例、空间距离、结构等位置关系，企业形象的使用者应当明确标志的正确形态，仅限于对LOGO等比例缩放使用。','正确','A:正确 B:错误 ','判断题'
'9月9日下午，2017世界物联网博览会举办前夕，无锡慧海湾小镇启动仪式在无锡感知中国博览园隆重举行。无锡高新区与_____签约，共建慧海湾小镇。','中电海康','A:中电海康 B:中国电科 C:海康威视 D:凤凰光学',
'52所始终都是倾全所之力支持海康威视的发展，主要从以下几个方面_____。','成立所控数字视频监控项目组 千方百计引进先进算法技术和外部资本 将四家销售公司并入海康威视 给予资金、信贷担保、分红权和业务等支持','A:成立所控数字视频监控项目组 B:千方百计引进先进算法技术和外部资本 C:将四家销售公司并入海康威视 D:给予资金、信贷担保、分红权和业务等支持',
'2035年，人均国内生产总值达到_____水平。','中等发达国家','A:发展中国家 B:初级发达国家 C:中等发达国家 D:发达国家','单选题'
'2022年下半年将在北京召开中国共产党第_____次全国代表大会。','20','A:20 B:21 C:22 D:23','单选题'
'2022年3月6日，习近平总书记在看望参加政协会议的农业界社会福利和社会保障界委员时强调，实施乡村振兴战略，必须把确保重要农产品特别是_____作为首要任务，把提高农业综合生产能力放在更加突出的位置。','粮食供给','A:粮食增收 B:粮食供给 C:基本物资 D:粮农设备','单选题'
'2022年3月5日，习近平总书记在参加十三届全国人大五次会议内蒙古代表团的审议时指出，_____是中国人民创造历史伟业的必由之路。','团结奋斗','A:锐意创新 B:改革开放 C:攻坚克难 D:团结奋斗','单选题'
'2022年3月21日，中电海康首期“青年马克思主义者培养工程”培训班正式开班。','正确','A:正确 B:错误 ',
'2022年3月21日，中电海康首期“青年马克思主义者培养工程”（以下简称“青马工程”）培训班正式开班。中电海康党委副书记、董事刘泳玉，共青团浙江省委基层工作部副部长徐秀出席活动并讲话。','正确','A:正确 B:错误 ','判断题'
'2022年1月17日，习近平出席2022年世界经济论坛视频会议并发表演讲强调，中国经济总体发展势头良好，去年中国国内生产总值增长_____左右，实现了较高增长和较低通胀的双重目标。','0.08','A:0.05 B:0.06 C:0.07 D:0.08','单选题'
'2022年，海康威视正式获得由国际权威标准研发和认证评审机构英国标准协会（BSI）颁发的ISO/IEC27701:2019及ISO/IEC29151:2017体系认证，意味着海康威视所建立的隐私信息管理体系已获得专业认可。同时，海康威视ISO/IEC27001:2013证书也由BSI完成换证审核，信息安全管理体系已步入国际领先行列。','正确','A:正确 B:错误 ','判断题'
'2021年是中国—东盟建立对话关系_____周年。','30 ','A:20 B:30 C:40 D:50','单选题'
'2021年秋季学期中央党校（国家行政学院）中青年干部培训班9月1日上午在中央党校开班。习近平在开班式上发表重要讲话指出，我们共产党人为的是_____、守的是_____、求的是_____，更要正心明道、怀德自重，始终把党和人民放在心中最高位置，做一个一心为公、一身正气、一尘不染的人。','A:大公 B:大义 D:大我','A:大公 B:大义 C:大爱 D:大我','多选题'
'2021年秋季学期中央党校（国家行政学院）中青年干部培训班9月1日上午在中央党校开班。习近平在开班式上发表重要讲话指出，年轻干部要坚持以党性立身做事，把说老实话、办老实事、做老实人作为党性修养和锻炼的重要内容，敢于_____，善于_____，坚持_____。','A:坚持真理 B:独立思考 D:求真务实','A:坚持真理 B:独立思考 C:实事求是 D:求真务实','多选题'
'2021年秋季学期中央党校（国家行政学院）中青年干部培训班9月1日上午在中央党校开班。习近平在开班式上发表重要讲话强调，坚持从实际出发，前提是深入实际、了解实际，只有这样才能做到事实就是。要了解实际，就要掌握_____这个基本功。','调查研究','A:基层工作 B:躬身实干 C:调查研究 D:坚守原则','单选题'
'2021年9月6日，习近平在向第32届国际航空科学大会贺信中指出，_____是20世纪以来发展最为迅速、对人类生产生活影响最大的科技领域之一。','航空科技','A:生物科技 B:航空科技 C:能源科技 D:海洋科技',
'2021年9月21日，习近平出席第七十六届联合国大会一般性辩论并发表重要讲话。他强调，要平衡推进_____三大领域工作，把各方对多边主义的承诺落到实处。','A:安全 B:人权 C:发展','A:安全 B:人权 C:发展 D:富裕','多选题'
'2021年9月1日，习近平总书记在中央党校（国家行政学院）中青年干部培训班开班式上发表重要讲话强调，讲规矩、守底线，首先要有_____。','敬畏心',,'单选题'
'2021年9月1日，习近平总书记在中央党校（国家行政学院）中青年干部培训班开班式上发表重要讲话强调，_____，是干部的职责所在，也是价值所在。党把干部放在各个岗位上是要大家担当干事，而不是做官享福。','干事担事','A:干事创业 B:敢于担当 C:对党忠诚 D:干事担事','单选题'
'2021年9月1日，习近平总书记在中央党校（国家行政学院）中青年干部培训班开班式上发表重要讲话强调：_____，是中国共产党人的精神支柱和政治灵魂。','理想信念','A:理想信念 B:对党忠诚 C:实事求是 D:敢于斗争','单选题'
'2021年7月1日，习近平在庆祝中国共产党成立100周年大会上发表重要讲话指出，新中国成立以来，我们实现了从生产力相对落后的状况到经济总量跃居世界_____的历史性突破。','第二',,'单选题'
'2021年7月1日，习近平在庆祝中国共产党成立100周年大会上发表重要讲话指出，中国共产党和中国人民以英勇顽强的奋斗向世界庄严宣告，中华民族迎来了从站起来、富起来到强起来的伟大飞跃，实现中华民族伟大复兴进入了_____！','不可逆转的历史进程','A:指日可待的历史进程 B:岌岌可危的历史进程 C:不可逆转的历史进程 D:唾手可得的历史进程','单选题'
'2021年7月1日，习近平在庆祝中国共产党成立100周年大会上发表重要讲话指出，中国共产党_____。','A:根基在人民 B:血脉在人民 C:力量在人民 ','A:根基在人民 B:血脉在人民 C:力量在人民 D:智慧在人民','多选题'
'2021年7月1日，习近平在庆祝中国共产党成立100周年大会上发表重要讲话指出，以史为鉴、开创未来，必须进行具有许多新的历史特点的_____。','伟大斗争','A:伟大斗争 B:伟大事业 C:伟大工程 D:伟大梦想','单选题'
'2021年7月1日，习近平在庆祝中国共产党成立100周年大会上发表重要讲话指出，一百年前，中华民族呈现在世界面前的是一派衰败凋零的景象。今天，中华民族向世界展现的是一派_____的气象，正以不可阻挡的步伐迈向伟大复兴。','欣欣向荣',,
'2021年7月1日，习近平在庆祝中国共产党成立100周年大会上发表重要讲话指出，新时代的中国青年要以实现中华民族伟大复兴为己任，增强做中国人的_____，不负时代，不负韶华，不负党和人民的殷切期望！','A:志气 B:骨气 C:底气 ','A:志气 B:骨气 C:底气 D:勇气','多选题'
'2021年7月1日，习近平在庆祝中国共产党成立100周年大会上发表重要讲话指出，_____选择了中国共产党。中国共产党领导是中国特色社会主义_____的特征，是中国特色社会主义制度的最大优势，是党和国家的根本所在、命脉所在，是全国各族人民的利益所系、命运所系。','A:历史和人民 B:最本质 ','A:历史和人民 B:最本质 C:历史和时代 D:最基本','多选题'
'2021年7月1日，习近平在庆祝中国共产党成立100周年大会上发表重要讲话指出，_____是中华民族5000多年来一直追求和传承的理念，中华民族的血液中没有侵略他人、称王称霸的基因。','和平、和睦、和谐','A:人类命运共同体 B:互不干涉内政 C:和平、和睦、和谐 D:独立自主','单选题'
'2021年7月1日，习近平在庆祝中国共产党 成立100周年大会上发表重要讲话指出，中国共产党和中国人民以英勇顽强的奋斗向世界庄严宣告，中华民族迎来了从站起来富起来到强起来的伟大飞跃，实现中华民族伟大复兴进入了_______。','不可逆转的历史进程',,
'2021年6月24日，项目主楼的钻孔灌注桩开钻，标志着凤凰光学物联网产业基地项目桩基工程正式开始施工。','错误','A:正确 B:错误 ','判断题'
'2021年5月28日，两院院士大会中国科协第十次全国代表大会在京召开，习近平发表重要讲话指出，我国广大科技工作者要以与时俱进的精神、革故鼎新的勇气、坚忍不拔的定力，肩负起时代赋予的重任，努力实现_____。','高水平科技自立自强','A:创新驱动发展 B:科技自立自强 C:高水平科技自立自强 D:科教兴国','单选题'
'2021年5月28日，两院院士大会中国科协第十次全国代表大会在京召开，习近平发表重要讲话强调，要加强_____科技攻关，坚决打赢关键核心技术攻坚战。','原创性 引领性','A:原创性 B:自主性 C:先进性 D:引领性',
'2021年4月22日，习近平出席领导人气候峰会并发表重要讲话，他强调，中国将生态文明理念和生态文明建设纳入中国特色社会主义总体布局，坚持走_____的发展道路。','生态优先 绿色低碳','A:高速高效 B:生态优先 C:绿色低碳 D:经济优先','多选题'
'2021年4月20日，习近平主席在博鳌亚洲论坛2021年年会开幕式上以视频方式发表主旨演讲。他指出，共建“一带一路”追求的是_____，崇尚的是_____，传递的是_____。','A:发展 B:共赢 C:希望','A:发展 B:共赢 C:希望 D:富裕','多选题'
'2021年12月14日，习近平在中国文联十一大、中国作协十大开幕式上发表重要讲话强调，一百年来，党领导文艺战线不断探索、实践，走出了一条以马克思主义为指导、符合中国国情和文化传统、高扬_____的文艺发展道路。','人民性','A:大众性 B:人民性 C:民族性 D:传统性','单选题'
'2021年12月14日，习近平在中国文联十一大、中国作协十大开幕式上发表重要讲话强调，广大文艺工作者要增强文化自觉、坚定文化自信，以强烈的_____精神，积极投身社会主义文化强国建设。','历史主动','A:艺术创作 B:文化继承 C:文化自觉 D:历史主动',
'2021年11月18日，中共中央政治局召开会议。会议强调，必须坚持把_____放在首要位置，统筹做好政治安全、经济安全、社会安全、科技安全、新型领域安全等重点领域、重点地区、重点方向国家安全工作。','政治安全','A:社会安全 B:政治安全 C:经济安全 D:科技安全','单选题'
'2021年11月16日，国家主席习近平同美国总统拜登举行视频会晤。习近平强调，_____是中国的基本国策和鲜明标识。','对外开放','A:对外开放 B:深化改革 C:节约资源 D:保护环境','单选题'
'2021年11月11日，国家主席习近平应邀在北京以视频方式向亚太经合组织工商领导人峰会发表题为《坚持可持续发展共建亚太命运共同体》的主旨演讲。他指出，_____是最基本的公共产品和最普惠的民生福祉。','良好生态环境','A:良好生态环境 B:良好社会氛围 C:风清气正的的政治生态 D:开放的贸易和投资政策','单选题'
'2021年10月30日，习近平出席二十国集团领导人第十六次峰会第一阶段会议并发表重要讲话。他指出，中国将坚持对外开放的基本国策，发挥_____优势和_____潜力，着力推动规则、规制、管理、标准等制度型开放，不断加大知识产权保护力度，持续打造市场化、法治化、国际化营商环境，为中外企业提供公平公正的市场秩序。','C:超大规模市场 D:内需','A:高科技 B:人力资源 C:超大规模市场 D:内需','多选题'
'2021年，重点海康入选“杭州市智能物联企业创新联合体”。','正确',,
'2021年，中电海康申报获得科技部“科技创新2030-新一代人工智能”两项重大项目立项。','正确',,
'2021年，中电海康入选“杭州市智能物联企业创新联合体”。','正确','A:正确 B:错误 ','判断题'
'2021年，中电海康获得“全国五一劳动”奖状。','正确','A:正确 B:错误 ','判断题'
'2020年营业收入660亿元，利润总额148亿元，科研投入72亿元，R&D占比达10.84%。','正确','A:正确 B:错误 ','判断题'
'2020年7月21日，习近平总书记主持召开企业家座谈会。中电海康陈宗年董事长作为企业家代表之一第一个发言，向总书记汇报了他2015年视察海康以来，海康在各方面取得的优异成绩，并在深化企业改革、企业技术创新等方面建言献策。','正确','A:正确 B:错误 ','判断题'
'2020年7月，中国电科董事长、党组书记陈肇雄视察中电海康时提出了“三个走在前列和三个示范带头”的要求。其中“三个示范带头”具体是？','A:抓好队伍建设，激发内生活力，在人才选配引用方面起到示范带头作用 B:强化风险管控，提升内控质量，在防范化解重大风险方面起到示范带头作用 C:加强协同联动，形成发展合力，在推进集团公司一体发展方面起到示范带头作用','A:抓好队伍建设，激发内生活力，在人才选配引用方面起到示范带头作用 B:强化风险管控，提升内控质量，在防范化解重大风险方面起到示范带头作用 C:加强协同联动，形成发展合力，在推进集团公司一体发展方面起到示范带头作用 D:提高政治站位，加强党的领导，在融入中心、服务大局方面走在前列','多选题'
'2020年6月，中国电科董事长、党组书记陈肇雄视察中电海康时提出了“三个走在前列和三个示范带头”的要求。其中“三个走在前列”具体是？','A:提高政治站位，加强党的领导，在融入中心、服务大局方面走在前列 B:加强战略谋划，立足新的起点，在高质量发展方面走在前列 C:注重管理优化，提升治理效能，在改革创新方面走在前列 ','A:提高政治站位，加强党的领导，在融入中心、服务大局方面走在前列 B:加强战略谋划，立足新的起点，在高质量发展方面走在前列 C:注重管理优化，提升治理效能，在改革创新方面走在前列 D:抓好队伍建设，激发内生活力，在人才选配引用方面起到示范带头作用','多选题'
'2020年5月18日，作为慧海湾小镇的核心区，_____正式开工，标志着小镇建设迈入了新阶段。','中电海康无锡物联网产业基地','A:中电海康无锡物联网产业基地 B:中电海康德清物联网产业基地 C:中电海康临安物联网产业基地 D:中电海康安吉物联网产业基地','单选题'
'2020年4月27日，国资委正式对外公布已完成改革方案备案的204户“科改示范企业”名单。其中，中国电科旗下_____两家单位名列其中。','中电海康集团有限公司、中电科软件信息服务有限公司',,
'2020年3月9日，中电海康集团有限公司举行新总部_____开园仪式。','海创园区','A:海创园区 B:未来科技城园区 C:马塍路园区 D:滨海路园区','单选题'
'2020年12月22日，物价发起单位为五十二所_______、浙江东方集团股份有限公司、浙江中大集团股份有限公司、浙江省科技风险投资公司、杭州电子工业学院机电总厂举行《共同发起设立浙江海康信息技术有限公司协议书》的签字仪式。。','杭州四康智能设备厂',,
'2020年，海康入选科改示范企业，积极梳理自身经验做法，在_____等方面总结形成“海康经验”。','公司治理战略决策科技成果转化激励机制',,
'2019年3月18日，习近平总书记主持召开学校思想政治理论课教师座谈会并发表重要讲话强调，中华民族几千年来形成了博大精深的优秀传统文化，我们党带领人民在革命、建设、改革过程中锻造的革命文化和社会主义先进文化，为思政课建设提供了_____。','深厚力量','A:深厚力量 B:有力支撑 C:文化基因 D:重要元素','单选题'
'2019年3月18日，习近平总书记主持召开学校思想政治理论课教师座谈会并发表重要讲话强调，我们党立志于中华民族千秋伟业，必须培养一代又一代拥护中国共产党领导和我国社会主义制度、立志为_____事业奋斗终身的有用人才。','中国特色社会主义','A:共产主义 B:社会主义 C:民族伟大复兴 D:中国特色社会主义','单选题'
'2019年3月18日，习近平总书记主持召开学校思想政治理论课教师座谈会并发表重要讲话强调，推动思想政治理论课改革创新，要不断增强思政课的思想性、理论性和亲和力、_____。','针对性',,
'2019年3月18日，习近平总书记主持召开学校思想政治理论课教师座谈会并发表重要讲话强调，思政课教师，要给学生心灵埋下_____的种子，引导学生扣好人生第一粒扣子。','真善美','A:好传统 B:好品德 C:德智体 D:真善美','单选题'
'2019年3月18日，习近平总书记主持召开学校思想政治理论课教师座谈会并发表重要讲话强调，办好思想政治理论课关键在教师，关键在发挥教师的积极性、主动性、_____。','创造性','A:创新性 B:创造性 C:自主性 D:执行力','单选题'
'2019年3月18日，习近平总书记主持召开学校思想政治理论课教师座谈会并发表重要讲话强调，办好思想政治理论课，最根本的是要全面贯彻党的_____，解决好培养什么人、怎样培养人、为谁培养人这个根本问题。','教育方针','A:教育方针 B:教育政策 C:教育导向 D:教育思想','单选题'
'2019年11月，海康威视为西湖区智慧交通馆搭建全国首个室内人车路协同系统项目，并与之江实验室达成战略合作。','错误，是海康智联，并且是萧山区','A:正确 B:错误 ','判断题'
'2019年11月，_____为萧山智慧交通馆搭建全国首个室内人车路协同系统项目，并与之江实验室达成战略合作。','海康智联','A:海康智联 B:海康慧联 C:中电海康创新赋能中台车联网业务单元 D:海康威视','单选题'
'2019年，中电海康荣获国资委深化人才发展体制机制改革示范企业。','正确','A:正确 B:错误 ','判断题'
'2019年，科正公司提出“四化”战略，市场化、平台化、有限多元化、生态化，加快业务布局和发展，拓展汽车电子、信息安全检测、消费电子等领域。','错误，应该是：国际化、集团化、有限多元化、生态化','A:正确 B:错误 ','判断题'
'2018年7月2日习近平总书记在同团中央新一届领导班子成员集体谈话中强调：青年工作，抓住的是_____，传承的是_____，面向的是_____，攸关党和国家前途命运。','当下 根脉 未来 ','A:当前 根脉 希望 B:当前 命脉 希望 C:当下 根脉 未来 D:当下 命脉 未来','单选题'
'2018年7月2日习近平总书记在同团中央新一届领导班子成员集体谈话中强调：_____广大青年、_____广大青年、_____广大青年是我们党不断从胜利走向胜利的重要保证。','代表 赢得 依靠 ','A:代表 赢得 依靠 B:带领 赢得 培养 C:代表 引导 培养 D:带领 引导 依靠','单选题'
'2018年7月2日，习近平总书记在同团中央新一届领导班子成员集体谈话中指出：切实落实从严治团要求，_____要严，坚持以政治建设为统领，加强共青团系统党的建设，增强“四个意识”，坚定“四个自信”，坚决维护党中央权威和集中统一领导，旗帜鲜明抵制各种歪风邪气，保持清风正气和良好形象。_____要严，政治上、思想上、能力上、担当上、作风上、自律上要强，做到对党忠诚，敢于挑急难险重的担子，敢于到条件艰苦、环境复杂的岗位锻炼，脚踏实地、一步一个脚印干。_____也要严，在团员标准要求上严起来，从把好入团质量关入手，抓好入团以后的教育实践，带动广大青年一起前进。','A:政治上 B:团的干部队伍建设 C:团员队伍建设','A:政治上 B:团的干部队伍建设 C:团员队伍建设 D:思想上','多选题'
'2018年7月2日，习近平总书记在同团中央新一届领导班子成员集体谈话中强调：中华民族伟大复兴的中国梦终将在一代代青年的_____中变为现实。','接力奋斗','A:接续奋斗 B:永久奋斗 C:接力奋斗 D:持续奋斗','单选题'
'2018年7月2日，习近平总书记在同团中央新一届领导班子成员集体谈话中强调：要加强对青年_____，_____就是团旗所向。','B:政治引导 C:党旗所指','A:政治引领 B:政治引导 C:党旗所指 D:党的要求','多选题'
'2018年7月2日，习近平总书记在同团中央新一届领导班子成员集体谈话中强调：青年工作，抓住的是_____，传承的是_____，面向的是_____，攸关党和国家前途命运。','A:当下 B:根脉 C:未来','A:当下 B:根脉 C:未来 D:命脉','多选题'
'2018年6月26日至29日，中国共产主义青年团第十八次全国代表大会在北京举行。在共青团十八届一中全会上，_____当选为团中央书记第一书记。','贺军科','A:贺军科 B:汪鸿雁 C:徐晓 D:傅振邦','单选题'
'2018年12月6日，中共中电海康集团有限公司召开第二次代表大会。','错误','A:正确 B:错误 ','判断题'
'2018年，意博高科智慧照明生产基地落户千岛湖。','错误','A:正确 B:错误 ','判断题'
'2017年9月9日下午，无锡慧海湾小镇重大项目签约揭牌仪式在太湖饭店举行。时任江苏省委书记、省人大常委会主任李强与时任中国电子科技集团党组书记、董事长熊群力为_____、江苏海康瑞德物联网科技有限公司正式揭牌，这标志着中电海康在物联网领域已与无锡形成了全方位战略合作。','中电海康无锡研究院','A:中电海康无锡研究院 B:中电海康嘉兴研究院 C:中电海康临安研究院 D:中电海康研究院','单选题'
'2017年2月28日，无锡市人民政府与_____战略合作协议签约仪式在南京举行。','中国电子科技集团公司中电海康集团',,
'2017 年，中共中央、国务院印发《中长期青年发展规划 _____》，并发出通知，要求各地区各部门结合实际认真贯彻落实。','2016-2025年','A:2013-2020年 B:2016-2025年 C:2017-2030年 D:2020-2050年','单选题'
'2015年中电海康网站（www.cethik.com）上线开通。','正确','A:正确 B:错误 ','判断题'
'2015年7月31日，北京携手张家口获得了2022年第_____届冬季奥林匹克运动会的举办权。','二十四届',,
'2015年5月26日，习总书记视察海康时指示：“企业持续发展之基，市场制胜之道在于创新，企业要把创新牢牢抓住，加强创新平台建设，培养创新人才队伍，促进创新链、产业链、市场需求有机衔接，争当创新驱动发展先行军！”','错误','A:正确 B:错误 ','判断题'
'2015年，总书记视察海康威视时指出，企业持续发展之基、市场制胜之道在于人才驱动发展，各类企业都要牢牢抓住人才发展的机遇，不断增加创新研发投入，加强创新平台建设，培养创新人才队伍，促进创新链、产业链、市场需求有机衔接，争当创新驱动发展先行军。','正确','A:正确 B:错误 ','判断题'
'2014年5月4日，习近平总书记在北京大学师生座谈会上发表重要讲话，指出要自觉践行社会主义核心价值观，要_____，下得苦功夫，求得真学问；要_____，加强道德修养，注重道德实践；要_____，善于明辨是非，善于决断选择；要_____，扎扎实实干事，踏踏实实做人。','A:勤学 B:修德 C:明辨 D:笃实','A:勤学 B:修德 C:明辨 D:笃实','多选题'
'2014年3月9日，习近平总书记在第十二届全国人民代表大会第二次会议安徽代表团参加审议时，发表了“三严三实”讲话，其中三严是指_____、_____、_____。','A:严以修身 B:严以用权 C:严以律己','A:严以修身 B:严以用权 C:严以律己 D:公道正派','多选题'
'2014年3月9日，习近平总书记在第十二届全国人民代表大会第二次会议安徽代表团参加审议时，发表了“三严三实”讲话，其中三实是指_____、_____、_____。','B:谋事要实 C:创业要实 D:做人要实','A:真抓实干 B:谋事要实 C:创业要实 D:做人要实','多选题'
'2014年，海康威视推出民用互联网业务——萤石。','错误，是2012年','A:正确 B:错误 ','判断题'
'2014年，国务院国资委_____书记视察海康，觉得海康这样的企业应该是总书记比较希望的企业。','张毅','A:郝鹏 B:张毅 C:骆玉林 D:郜风涛','单选题'
'2013年11月12日，习近平在中共十八届三中全会第二次全体会议上的讲话中指出，全面深化改革必须以_____为出发点和落脚点。','促进社会公平正义、增进人民福祉','A:提高社会生产力、增强综合国力 B:人类命运共同体 C:促进社会公平正义、增进人民福祉 D:促进和平与发展',
'2012年IMS研究结果发布，海康威视跃居全球视频监控第1位，DVR第1位，_____第4位，_____第7位。','监控摄像机、VMS','A:VMS、数字硬盘录像机 B:数字硬盘录像机、监控摄像机 C:监控摄像机、VMS D:网络硬盘录像机、VMS','单选题'
'2012年IMS研究结果发布，海康威视跃居全球_____第1位，_____第1位。','C:视频监控、DVR ','A:监控摄像机、视频监控 B:VMS、监控摄像机 C:视频监控、DVR D:VMS、DVR','单选题'
'2012年9月1日，浙江海康集团有限公司物联网应用事业部主要业务和人员进入浙江海康科技有限公司，同时_____划归中国电科（杭州）物联网研究院（所研发中心）管理。','视频监控事业部','A:光电事业部 B:视频监控事业部 C:物联网应用事业部 D:电子板卡事业部','单选题'
'2012年9月12日，海康威视荣获“中央企业思想政治工作先进单位”。','错误','A:正确 B:错误 ',
'2012年6月16日，中国首位女航天员刘洋乘坐_____载人飞船进入太空。','神舟九号',,
'2012年10月24日，中电海康集团与杭州未来科技城（海创园）管委会签署用地投资协议书。','null','A:正确 B:错误 ','判断题'
'2012年，海康威视进入消费市场，推出互联网业务（萤石）。','正确',,
'2012年，策划并举办建所“总结过去、凝聚人心、新的起点、新的未来”为主题的50周年系列活动，于9月4日在浙江省音乐厅举办了建所50周年庆祝大会暨“我们一同走过”大型文艺庆典。','正确',,
'2011年海康确定了“二次创业”发展目标：十二五期间实现“百亿海康”战略目标（2015年销售收入超过150亿元，十二五期间利润总额超过100亿元），争取到2020年或更长一段时间，打造一个集_____、_____、_____于一体的千亿级高科技子集团。','A:产品研发制造 B:解决方案提供 C:运营服务','A:产品研发制造 B:解决方案提供 C:运营服务 D:技术创新','多选题'
'2011年根据浙江省省长吕祖善同志的指示，五十二所牵头编制了《中国电科与浙江省联合打造千亿级物联网产业行动计划（2011-2015）》，并上报浙江省人民政府和中国电子科技集团公司。','正确','A:正确 B:错误 ','判断题'
'2011年，海康威视跃居全球视频监控第一位，中电海康提出“双千亿”和“千亿海康”战略目标。','正确','A:正确 B:错误 ','判断题'
'2010年公司实施“海康春雷人才计划”，设立创新基金。','错误','A:正确 B:错误 ','判断题'
